"course","CourseName","CourseCredits","CourseSubject","CourseCatalog","Description","Career"
"http://focu.io/data#course_GEOG_466","Geomedia and the Geoweb","3.0","GEOG","466","This course introduces students to geospatial technologies that have dramatically changed the way one interacts with the environment. Students acquire the geovisualization skills required to design meaningful maps in the context of the Geoweb, and are exposed to the growing body of literature that critically envisions the socio-political dimensions of these new forms of cartographic expression. Lectures and laboratory.
Prerequisite: GEOG 363 or URBS 335; or permission of the Department.




","UGRD"
"http://focu.io/data#course_MECH_6751","VEHICLE DYNAMICS","4.0","MECH","6751","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_COMS_303","SEL. TOPICS IN CDN. CINEMAS","3.0","COMS","303","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_RELI_819","TOPICS IN JUDAIC STUDIES","3.0","RELI","819","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_GDBA_591","SPECIAL TOPICS IN FINANCE","3.0","GDBA","591","Please see Graduate Calendar","GRAD"
"http://focu.io/data#course_ECON_564","Game Theory, Information, and Economic Modelling","3.0","ECON","564","This introductory course on game theory is a collection of mathematical tools to model and analyze strategic interactions in a variety of settings, from economic and social situations to politics and international relations. The course focuses on both non-co-operative and co-operative game theoretic modelling, in particular, strategic and extensive form games, Bayesian games, and coalitional games. Students learn to solve games using the concepts of dominant strategies, Nash-equilibrium, subgame perfection, Bayesian equilibrium, and the core. Applications may include repeated games, auctions, bargaining, oligopoly games, entry deterrence, pricing strategies, and collusion.","GRAD"
"http://focu.io/data#course_POLI_636","THEORIES OF PUBPOL&PUBADMIN.","3.0","POLI","636","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_RELI_389","SPEC TOP-COMP RELI ETHICS","3.0","RELI","389","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_JOUR_202","Digital Tools for Journalists","3.0","JOUR","202","Students are introduced to a range of basic tools and concepts in multimedia journalism, from basic HTML and web design to the use of web 2.0 tools to author and publish video, audio, and still photography online.
Prerequisite: Enrolment in a Journalism program.




","UGRD"
"http://focu.io/data#course_ESL_202","Developing Academic English Language Skills","6.0","ESL","202","This course helps non-native-speaking students develop the language skills necessary for academic work through an integrated program of grammar, vocabulary, reading, and writing. The coursework enables students to build a wide range of vocabulary and grammatical structures and apply them to essential university tasks such as paraphrasing, expository writing, and processing academic texts.
Prerequisite: Placement by the Concordia Comprehensive ESL Placement Test (ConCEPT).




","UGRD"
"http://focu.io/data#course_BIOL_696","MASTER S RESEARCH & THESIS","36.0","BIOL","696","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_MATH_202","College Algebra","3.0","MATH","202","This course introduces students to the fundamental notions of algebra. Topics covered in this course may include progressions, combinations, permutations, mathematical induction, inequalities, polynomials, and the Cartesian and polar forms of complex numbers.

NOTE: Students who have received credit or an exemption for a course at the level of ACTU 256 or above; MAST 218 or above; MATH 251 or above; STAT 249 or above; or for a course having any of these courses in its sequence of prerequisites, may not take this course for credit.

NOTE: Students in programs leading to the BSc degree or the BA programs in Mathematics and Statistics may not take this course for credit to be applied to their program of concentration.","UGRD"
"http://focu.io/data#course_EDUC_862","Pragmatic Aspects of Bi/Multilingualism and Language Learning","3.0","EDUC","862","This advanced topics course is presented in tutorial format and addresses historical or contemporary issues in pragmatic aspects of bilingualism, multilingualism, or language learning.","GRAD"
"http://focu.io/data#course_MECH_211","Mechanical Engineering Drawing","3.5","MECH","211","Introduction to graphic language and design — means and techniques. The third and the first angle projections. Orthographic projection of points, lines, planes and solids. Principal and auxiliary views. Views in a given direction. Sectional views. Intersection of lines, planes and solids. Development of surfaces. Drafting practices. Dimensioning, fits and tolerancing. Computer-aided drawing and solid modelling. Working drawings — detail and assembly drawing. Design practice. Machine elements representation. Lectures: three hours per week. Tutorial: two hours per week — includes learning of a CAD software. Laboratory: two hours per week, alternate weeks.





","UGRD"
"http://focu.io/data#course_GSPD_604","Furthering Your Professional Skills","1.0","GSPD","604","See graduate calendar","GRAD"
"http://focu.io/data#course_PHIL_398","INTERMEDIATE SPECIAL TOPICS","3.0","PHIL","398","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_FINA_455","SEMINAR IN FINANCE","3.0","FINA","455","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_CEDP_200","ADOBE ILLUSTRATOR","40.0","CEDP","200","*VID*
*KEYB*
It's pretty obvious: clip art doesn't cut it anymore. If you want to work in advertising, website design, graphic arts or any number of visually creative fields, you have to know Adobe Illustrator. You'll learn how to use the latest drawing tools, professional colour and type controls to experiment freely and render your ideas quickly and intuitively using the most powerful computers and the most recent versions of Adobe's software. This is also your chance to learn some more advanced tools and techniques to create illustrations, text effects, and line art. You’ll even dive into more detailed features like gradient meshes, live trace, live colour and advanced drawing techniques – all taught by an experienced graphic design professional. By the end of this course, you will really develop your creative flair using Adobe Illustrator.
*CNT*
This course is a great way to help you:
•	Learn the basic and more advanced features of Adobe Illustrator
•	Familiarize yourself with industry-standard digital drawing tools and techniques, type and colour controls
•	Develop your skill at creating illustrations, text effects and line art
•	Increase your ability to express yourself creatively in a digital medium
•	Create portfolio worthy illustrated work.
•	Create corporate identities, logos and icons.
*APP*
In this course, you will learn directly from industry professionals who will share the latest industry insights and challenge you with real-world problems. More excitingly, you’ll learn through hands-on projects using the very latest software. Did we mention that your projects will be transferred into ready-to-go portfolio pieces? This course is designed for the students to meet regularly during live synchronous learning in an online virtual classroom (Zoom).  
*WHO*
• Anyone who wants to learn the fundamentals of desktop publishing.
• Students who want to work in advertising, animation, graphic design, illustration, printmaking, page layout and digital publication.
• Anyone interested in updating their professional portfolio with the latest design trends.
• Students looking onward to an academic path in design.
• Employees in marketing, communications or sales who want to refresh their skills or are open new horizons.
• Small business owners or association members who manage their own communications.
• Exhibition designers, fine artists, interior designers, landscape architects, multimedia specialists, photographers and UX designers could also greatly benefit from courses in this program.","CCCE"
"http://focu.io/data#course_ARTH_385","Colour: Theory and Application in the Visual Arts","3.0","ARTH","385","An examination of various theories of colour by artists, philosophers, psychologists, and scientists.

NOTE: It is strongly recommended that students have completed at least six Art History credits before enrolling in this course.","UGRD"
"http://focu.io/data#course_CART_211","Creative Computing and Network Culture","3.0","CART","211","This course gives a broad introduction to the fundamentals of creative computing and network culture. Through readings and practical examples, students explore the histories of the Internet, computing, and interactivity as well as gain knowledge of fundamental technical tools used for creating network-based media.
Prerequisite: Enrolment in a Computation Arts program or written permission of the Department.
NOTE: Students who have received credit for DFAR 251 or CART 251 may not take this course for credit.



","UGRD"
"http://focu.io/data#course_AHSC_450","Therapeutic Recreation Assessment and Leisure Counselling","3.0","AHSC","450","This course focuses on the use of assessment applied to individual leisure abilities, interests and needs, and the application of counselling theory to the field of therapeutic recreation and leisure services. A variety of assessment tools are analyzed/interpreted. Theories, models, and methods of therapeutic recreation and leisure counselling are discussed.","UGRD"
"http://focu.io/data#course_ECON_222","Statistical Methods II","3.0","ECON","222","This course is a continuation of ECON 221 and is an introduction to the classical linear regression model, with an emphasis on the model’s assumptions and the properties and interpretation of the estimates derived from it. Consideration is also given to violations of the model’s assumptions, the effects on the estimates and steps to remedy these violations. Topics may include model specification, heteroscedasticity, multicollinearity and indicator variables. Students are also introduced to the acquisition and preparation of appropriate datasets.

NOTE: Students who have received credit for MAST 333, PSYC 316 or STAT 250, or for any combination of MAST 221 and 333, PSYC 315 and 316, or STAT 249 and 250, may not take this course for credit.","UGRD"
"http://focu.io/data#course_INDI_634","MASTER'S LEVEL STUDIES","3.0","INDI","634","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_RELI_629","Religious & Philo.Thgt","3.0","RELI","629","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_ADIP_590","ISSUES IN THE PRACTICE","3.0","ADIP","590","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_GPWL_939","Income Taxes","2.0","GPWL","939","Would you like to better understand tax slips and learn how to file your income taxes? Then this workshop is for you. We will first start with a brief overview of the Canadian tax system covering topics such as: Different types of taxes, tax brackets, and how different income gets taxed. We will review key tax slips (see list below) and show you how to make sense of them through live examples. Finally, we will review various tax credits and deductions available to you as well as show you a demo of how to use free software to file your income tax return.

~~~

In this workshop, participants will:
- Learn about the different Canadian tax brackets, what counts as taxable income, and how different types of income get taxed.
- Develop a basic understanding of the information contained on key tax slips (T4, T4A, RL-1, T5, RL-3, T2202A, RL-8, T5008, RL-19, RL-31, RC62, RL-24, and RL-30).
- Review common tax deductions and credits available to you.

~~~

This workshop is led by Alex Gavrila.

Alex is pursuing a PhD in Neuroscience and is interested in risk taking, behavioural economics, as well as financial, scientific, and social policy reform. He is a Director at the Science & Policy Exchange and the Montreal Chapter Coordinator for the Institute of New Economic Thinking's Young Scholars' Initiative.","PDEV"
"http://focu.io/data#course_PHIL_473","Advanced Topics in Continental Philosophy","3.0","PHIL","473","This course focuses on a selected theme or topic within or via the texts of the tradition of continental philosophy. Example topics include language, the world, animality, social or environmental justice, the political, violence, and memory.","UGRD"
"http://focu.io/data#course_POLI_285","INTRO TO LAW & SOCIETY","3.0","POLI","285","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_BIOL_469","ADV TOP-CELL&MOLECULAR BIOL","3.0","BIOL","469","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_HUMA_801","DIRECTED STUDIES","6.0","HUMA","801","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_URBS_260","Analytical Methods in Urban Studies","3.0","URBS","260","This is an introduction to qualitative research skills associated with urban studies. The emphasis is on the use of data sources and collection techniques along with analytical procedures appropriate to questions of urban planning and public policy. Lectures and laboratory.





","UGRD"
"http://focu.io/data#course_MRUS_201","Introductory Russian","3.0","MRUS","201","This course is designed for students with no knowledge of Russian and provides a comprehensive introduction to the basic grammatical structures and vocabulary of Russian. Both oral and written aspects of the language are presented and students acquire an ability to speak and understand simple Russian.

Note: Students who have received credit for MRUS 290 may not take this course for credit.","UGRD"
"http://focu.io/data#course_SOCI_484","Surveillance Studies","3.0","SOCI","484","This course considers many facets of surveillance in daily life. Emphasizing sociological and anthropological approaches, topics may include communications surveillance, surveillance in schools and the workplace, surveillance in medical care and public health settings, surveillance in the city, and surveillance futures.

NOTE: Students who have received credit for ANTH 484 or for this topic under a SOCI 498 number may not take this course for credit.","UGRD"
"http://focu.io/data#course_AERO_446","AEROSPACE VEHICLE PERFORMANCE","3.0","AERO","446","Prerequisite: MECH 361. Introduction to fixed-wing aircraft operation. Flying environment and its measurement by aircraft instrumentation. Computation of lift and drag, effects of viscosity and compressibility. Review of piston, turboprop, turbojet and turbofan power plants. Operational performance of aircraft in climb, cruise, descent and on ground. Advanced aircraft systems. Operational considerations in aircraft design. Projects on selected topics. Lectures: three hours per week. Tutorial: one hour per week.","UGRD"
"http://focu.io/data#course_ENGL_250","Forms of Popular Writing","3.0","ENGL","250","The topic of this course varies from year to year. It investigates such forms as spy novel, detective fiction, mystery, romance, travel writing, horror, and erotica in the context of the conventions, history, and popular appeal of the genre under discussion.





","UGRD"
"http://focu.io/data#course_HIST_318","Modernist New York","3.0","HIST","318","This course explores the history of “Modernist New York” from the vantage points of social and cultural history. Focusing on the decades between 1870 and 1930, it examines the interplay of culture and commerce, the histories of elites and recent immigrants, the role of race, and the dramatic changes in the cityscape.","UGRD"
"http://focu.io/data#course_POLI_601","RESEARCH DESIGN","3.0","POLI","601","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_COEN_6761","Software Testing and Validation","4.0","COEN","6761","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_RELI_694","Modern Jewish Philosophy I","3.0","RELI","694","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_GEOG_355","Resource Analysis and Management","3.0","GEOG","355","The course is concerned with the use of the Earth's natural resources and with the economic, institutional, and ecological factors that affect, condition, and control the use of these resources. It examines various approaches to analyzing, evaluating, and resolving resource issues and conflicts. These approaches are applied to Canadian forestry, fisheries, water, energy, and mineral resources.
Prerequisite: GEOG 290 or permission of the Department.




","UGRD"
"http://focu.io/data#course_MAST_702","Project - Stage I","3.0","MAST","702","This course offers a review of the literature in the area of the proposed project.","GRAD"
"http://focu.io/data#course_COMP_228","System Hardware","3.0","COMP","228","Levels of system abstraction and von Neumann model. Basics of digital logic design. Data representation and manipulation. Instruction set architecture. Processor internals. Assembly language programming. Memory subsystem and cache management. I/O subsystem. Introduction to network organization and architecture. Lectures: three hours per week. Tutorial: two hours per week.
Prerequisite: COMP 248; MATH 203 or Cegep Mathematics 103 or NYA previously or concurrently; MATH 204 or Cegep Mathematics 105 or NYC previously or concurrently.
NOTE: Students who have received credit for SOEN 228 may not take this course for credit.



","UGRD"
"http://focu.io/data#course_PHYS_392","SELECTED TOPICS IN PHYSICS","3.0","PHYS","392","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_MGRK_398","SPECIAL TOPICS MODERN GREEK","3.0","MGRK","398","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_SOEN_691D","TOPICS/SOFTWARE ENGINEERING OPEN SOURCE SOFTWARE DEV","4.0","SOEN","691D","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_DART_221","VISUAL COMM. IN CONTEXT","3.0","DART","221","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_RELI_308","CHRISTIANITY IN THE UNITED STATES: HISTORY AND PRACTICE","3.0","RELI","308","This course introduces students to the history of Christianity in the United States. from the 1630s to the present, with an emphasis on the modern period. It traces how the U.S. has become the most religious country in the developed world and explores how Americans understand and practice Christianity. It covers key historical moments and movements, including Puritanism, revivals and awakenings, missions, abolition and slavery, fundamentalism, anti-Communism and Pentecostalism.

NOTE: Students who have received credit for this topic under a RELI 398 number may not take this course for credit.","UGRD"
"http://focu.io/data#course_SCUL_610","SCULPTURE I","6.0","SCUL","610","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_FMST_398","SPECIAL TOPICS IN FILM AND MOVING IMAGE STUDIES","3.0","FMST","398","Prerequisite: Students must be in second-year standing with at least 24 credits
completed in their degree program.

A course which provides an opportunity for the study of limited and more specialized aspects of film and moving image3 studies.
.
NOTE: Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.","UGRD"
"http://focu.io/data#course_JOUR_303","FEATURE WRITING","3.0","JOUR","303","Prerequisite: JOUR 206, 207, 208 and 209. This workshop course is designed to help students develop and enhance their writing abilities, preparing for the broadest range of long-form journalism, from brief colour stories and profiles to in-depth and long-form articles. It consolidates interview techniques and introduces a variety of writing approaches, including long-form journalism.","UGRD"
"http://focu.io/data#course_INSE_6320","INFORMATION SYSTEMS ENGR RISK ANALYSIS FOR INSE","4.0","INSE","6320","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_CART_416","GAME STUDIO II","3.0","CART","416","In this studio course, students engage in larger-scale, team-based, iterative game development projects. Specific attention is given to the design of games that have intended purposes alongside entertainment – whether these be expressive, critical, persuasive, or educational in nature. Working in teams, students move from developing a concept around a rhetorical/experiential intention, to designing and developing a digital game prototype, and finally to examining play outcomes. Practical work is in dialogue with theory drawn from game design, game studies and interaction design.
Prerequisite: CART 315 or 353 or COMP 376; or written permission of the Department.","UGRD"
"http://focu.io/data#course_MAST_679E","TOPICS/STATS & PROBABILITY LEVY PROCESSES","3.0","MAST","679E","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_FRAN_212","French Language: Transitional Level","6.0","FRAN","212","The aim of this course is to provide students who have studied either one year of French at the university or post-secondary level, or two years of French at the secondary level or equivalent, with an opportunity to improve their levels of comprehension and expression so that they will be able to communicate with greater ease in written and oral French. Students will expand their repertory of linguistic structures and vocabulary through in-class directed conversation groups, homework, oral lab, and written exercises.","UGRD"
"http://focu.io/data#course_IRST_398","Special Topics in Irish Studies","3.0","IRST","398","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_PSYC_442","Psychopathology: Behaviour Regulation Disorders","3.0","PSYC","442","This course presents a focused and thorough investigation of psychopathology resulting from disorders of behaviour regulation. Problems studied include eating, substance use, and impulse-control disorders. Relevant sexual, gambling, and personality (e.g. borderline, antisocial) disorders may also be discussed. Topics include contemporary theory, classification issues, and current controversies, with an emphasis on current research.
Prerequisite: PSYC 310, 315, 340.




","UGRD"
"http://focu.io/data#course_MATH_451","TOPICS IN PROBABILITY","3.0","MATH","451","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_ENGL_397","Writing for Business","3.0","ENGL","397","This course examines written and visual strategies for communicating information in business contexts. Practice includes experience in audience analysis and visual design in the creation of such business documents as letters, memos, minutes, brochures, press 

NOTE: Students who have received credit for this course may not subsequently take ENGL 206. ENGL 207, or ENGL 212 for credit.","UGRD"
"http://focu.io/data#course_FMST_680B","PRACTICUM","3.0","FMST","680B","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_HIST_283","The 20th Century: A Global History","3.0","HIST","283","This course introduces students to the history of some of the forces and institutions that have shaped the history of the world in the 20th century, which has been characterized by widespread warfare, genocides, and massive violations against human rights and the natural environment. It has also been a time of unprecedented prosperity of some groups and parts of the globe, as well as an era of tremendous scientific advances.

NOTE: Students who have received credit for HISW 283, LOYC 210, or for this topic under a HIST 298 number may not take this course for credit.","UGRD"
"http://focu.io/data#course_PRIN_612","PRINTMAKING III","6.0","PRIN","612","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_ADMI_822","DESC & M.I.S.","3.0","ADMI","822","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_CWTE_301","REFLECTIVE LEARNING III","3.0","CWTE","301","NaN","UGRD"
"http://focu.io/data#course_BIOL_206","Elementary Genetics","3.0","BIOL","206","A survey of classical and contemporary developments in the study of heredity, with particular attention to human examples. This course is open to the general student body. Lectures only.

NOTE: Students who have received credit for BIOL 261 may not take this course for credit.
NOTE: Students transferring into a Biology program may retain degree credit for this course.


","UGRD"
"http://focu.io/data#course_EDUC_461","Child Studies Seminar: Early Childhood Settings","3.0","EDUC","461","This course complements EDUC460 and covers theoretical and applied aspects of working with children in early childhood settings.  This course focuses on reflective practices, curriculum planning and using observational techniques and organization of childcare settings that promote the health, safety and education of children ages 0 to 5 years.

NOTE: Students who have received credit for EDUC374 may not take this course for credit.","UGRD"
"http://focu.io/data#course_COMS_498","Advanced Topics in Communication Studies","3.0","COMS","498","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_FBRS_361","INTERM. TEXT.PRINTING/DYEING","3.0","FBRS","361","An intermediate-level studio course in textile printing and dyeing with an emphasis on the development of content. Interdisciplinary approaches such as photo processes and sculptural installation are combined with traditional print and dye techniques.
Prerequisite: FBRS 260 or permission of the coordinator. 
NOTE: Students who have received credit for FBRS 360 may not take this course for credit.","UGRD"
"http://focu.io/data#course_ECON_497","Income Distribution and Economic Inequality","3.0","ECON","497","This course examines the extent and dimensions of economic inequality among households both domestically and internationally. Topics covered include theories of income inequality, wealth inequality, recent trends in polarization, poverty, intergenerational bequests, the welfare state, and the role of government economic policy.","UGRD"
"http://focu.io/data#course_CEPD_208","CLIENT FOCUS","3.0","CEPD","208","Recognize the needs of clients, both internal and external, to deliver an effective client experience.","CCCE"
"http://focu.io/data#course_ITAL_242","Intermediate Italian II","3.0","ITAL","242","This course is a continuation of ITAL 241. It completes the review of the grammar and provides additional details not covered in the introductory courses. Practice is provided through short readings, discussions, and composition.

NOTE: Students who have received credit for ITAL 240 or 253 or 254 may not take this course for credit.","UGRD"
"http://focu.io/data#course_PSYC_457","Foundations of Animal Behaviour","3.0","PSYC","457","This course explores the bases underlying the study of animal behaviour as they relate to the study of psychobiology and evolutionary psychology. Topics may include reproductive strategies, communication, the effects of early experience, learning and cognition, and the mechanisms of orientation navigation and homing in animals. Behaviour genetics, theory of evolution, basic ethological concepts, and methodological issues are also discussed.

NOTE: Students who have received credit for PSYC 396 may not take this course for credit.","UGRD"
"http://focu.io/data#course_HIST_810","SEL TOPS IN EUROPEAN HISTORY","3.0","HIST","810","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_AHSC_565","Parent-Child Relations","3.0","AHSC","565","This course provides an advanced understanding of parenting theories, research, and applications in the context of parent-child relations over the life span. Topics include parenting rights and responsibilities, parenting practices and programs, high-risk parenting, issues in the transition from parenting children to parenting adolescents and parental assessment.","GRAD"
"http://focu.io/data#course_EAST_300","ASA and Aural Skills II","6.0","EAST","300","This course is a continuation of EAST 200 based upon the principles of auditory scene analysis andcritical listening. It extends the development of fundamental aural skills critical to students in electroacoustics. The course integrates electroacoustic analysis with music technology through detailed study of representative electroacoustic works. A number of digital studio techniques, such as envelopes, EQ, compression, reverb, and time stretching/pitch shifting, are also studied in this context.
Prerequisite: EAST 200.
NOTE: Students who have received credit for this topic under an EAMT 399 number may not take this course for credit.



","UGRD"
"http://focu.io/data#course_ADMI_8601","MANAGEMENT CONTROL SYSTEMS AND RISK MANAGEMENT","3.0","ADMI","8601","Please refer to Graduate Calendar","GRAD"
"http://focu.io/data#course_CEBU_1160","CROSS-CULTURAL MANAGEMENT","40.0","CEBU","1160","*VID*
*KEYB*
Montréal is truly a cosmopolitan city, with highly diverse cultures coming together in the workplace and people from here travelling abroad to work.  It's a vital source of enrichment, but it's also one that has its challenges. You might already be familiar with them. If that's the case, this is the perfect course. In it, you'll learn about the cultural dimensions involved in managing a diverse work setting, integrating into a foreign work setting, communicating with foreign business associates effectively and with sensitivity, and successfully navigating culture shock and the related stress when you return home. In short, you'll learn about respect, and that's a vital asset in any organization. 
*CNT*
This course is a great way to help you:
•	Train, motivate and lead in a diverse workplace setting;
•	Prepare for work in a company with opportunities to conduct business abroad;
•	Employ appropriate and effective communication styles, given specific cultural contexts;
•	Negotiate effectively in a cross-cultural teams or settings;
•	Heighten awareness of cultural differences in working abroad; 
•	Anticipate and control for culture shock in the workplace.
*APP*
As in the workplace, teamwork is key here. Sure, there will be engaging assignments and activities, but you'll also form ad-hoc teams to discuss real-world subjects presented by business experts. You'll formulate strategies to solve problems or seize opportunities. Above all, you'll have ample chance to contribute personally to the process. This course is designed with a combination of online live synchronous learning where the instructor and the students meet in a virtual classroom (Zoom) at the same time, and asynchronous work guided by the instructor and completed by students in their own time.  


*WHO*
•	Students who want an introduction to managing diversity in the workplace.
•	Anyone working in or considering a career in HR or employee training.
•	Students who want to pursue a career in any type of business.
•	Students or employees who are planning a move to a new culture.
•	Public speakers who want to better understand culturally diverse audiences.
•	Anyone who has to negotiate with people from another culture.
•	Foreign business-students who want to improve their North American business culture.","CCCE"
"http://focu.io/data#course_GPCB_634","Job Search Skills","2.0","GPCB","634","This clinic will address some of the steps needed to take in the career planning process, provide you with specific job search strategies and highlight effective networking tips.
~~~

At this workshop, students will learn:
1. The importance of starting any job search with a career plan in mind
2. Strategies on various job search methods; including leveraging industry/professional associations, job boards, employment agencies, attending career events, and others
3. Tips on effective tools of the trade; such as an Elevator Pitch, Business Cards and Informational Interviews
~~~

This workshop is led by Bob Menard.

Bob Menard has been advising graduate-level students at the John Molson School of Business for the last twelve years. Bob has a B. Comm from McGill University and an MBA from the Schulich School of Business. Previously, he spent nine years working in the private education sector.

(with JMSB CMS)","PDEV"
"http://focu.io/data#course_AHSC_498","Advanced Topics in Applied Human Sciences","3.0","AHSC","498","Specific topics for this course, and relevant prerequisites are stated in the Undergraduate Class Schedule.","UGRD"
"http://focu.io/data#course_COMS_284","Communication Media:  Moving Images I","3.0","COMS","284","This course provides a foundation in the creative, critical, and technical aspects of film and digital video production, including an introduction to non-linear editing software. Through collaborative assignments, lectures, discussions and readings, students explore the distinct language of each medium and develop video production skills through team work.

NOTE: Students who have received credit for COMS 280 and 282 may not take this course for credit.","UGRD"
"http://focu.io/data#course_SOCI_632","SOCIOLOGY OF THE FAMILY","3.0","SOCI","632","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_SPAN_412","Drama and Poetry in Renaissance and Baroque Spain, 1500-1690","3.0","SPAN","412","This course focuses on varied modes of poetic performance, from street theater to courtly wit to the Comedia Nueva. Students also consider the conflictive role of poetry in the creation of an early modern subject of mass culture. Textual analysis and critical discussions focus on Spanish poets and playwrights such as Garcilaso, Lope, Góngora, Quevedo, Caro, Sor Juana, and Calderón de la Barca. Students examine the
literary and political uses of pictorial perspective, the relationship between identity and theatricality, the aesthetic performance and institutional legitimization of sexual violence, among others.","UGRD"
"http://focu.io/data#course_CHEM_630","ADVANCED TOPICS IN CHEMISTRY","3.0","CHEM","630","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_LOYC_210","The 20th Century","3.0","LOYC","210","This course provides select coverage of aspects of the historical forces and events that shaped the 20th century. The historical background of issues such as wars and peace, colonialism and postcolonialism, economics and the environment, and questions about ethnic and national diversity and cultural perception are explored. The course is intended to develop critical thinking together with basic bibliographic and writing skills.

 NOTE: Students who have received credit for HIST 283 or HISZ 283, or for this topic under an HIST 298 or HISZ 298 number, may not take this course for credit.



","UGRD"
"http://focu.io/data#course_LUCC_320","TOPICS IN THE HUMANITIES I","6.0","LUCC","320","Please see UGRD Calendar","UGRD"
